Year,Day,Hour,Minutes,Latitude,Longitude,Altitude,Hdop,Num_of_sats,Individual
21,122,19,0,-32.543734,152.309677,0,0.7,10,UOM2002
21,122,20,0,-32.543613,152.309804,0,0.7,10,UOM2002
21,122,21,0,-32.543708,152.309778,0,0.9,9,UOM2002
21,122,22,0,-32.543664,152.309626,0,0.9,9,UOM2002
21,122,23,0,-32.543734,152.309855,1,0.9,9,UOM2002
21,123,0,0,-32.54381,152.309677,13,1.3,7,UOM2002
21,123,1,0,-32.543899,152.309829,22,1,8,UOM2002
21,123,2,0,-32.543715,152.309855,26,0.9,8,UOM2002
21,123,3,0,-32.543696,152.309804,5,0.9,8,UOM2002
21,123,4,0,-32.543715,152.309753,0,1.1,7,UOM2002
21,123,5,0,-32.543791,152.309804,3,1,8,UOM2002
21,123,6,0,-32.54367,152.309906,14,0.8,11,UOM2002
21,123,7,0,-32.518054,152.32224,16,0.9,11,UOM2002
21,123,8,0,-32.506153,152.316823,12,0.7,11,UOM2002
21,123,9,0,-32.502179,152.315068,0,1,8,UOM2002
21,123,10,0,-32.497525,152.312652,3,0.8,10,UOM2002
21,123,11,0,-32.498962,152.308634,15,0.8,10,UOM2002
21,123,12,0,-32.502065,152.306065,10,1,9,UOM2002
21,123,13,0,-32.501155,152.308837,3,1,9,UOM2002
21,123,14,0,-32.501105,152.308888,10,1,10,UOM2002
21,123,15,0,-32.503489,152.304183,0,0.9,10,UOM2002
21,123,16,0,-32.49832,152.306116,6,0.9,9,UOM2002
21,123,17,0,-32.496889,152.312754,16,0.9,9,UOM2002
21,123,18,0,-32.503431,152.306091,0,0.9,8,UOM2002
21,123,19,0,-32.502897,152.30576,14,0.7,11,UOM2002
21,123,20,0,-32.502821,152.305887,22,0.7,11,UOM2002
21,123,21,0,-32.502891,152.305862,8,0.9,9,UOM2002
21,123,22,0,-32.502904,152.30576,0,0.8,10,UOM2002
21,123,23,0,-32.502897,152.305837,6,0.7,10,UOM2002
21,124,0,0,-32.502948,152.305811,0,1.2,6,UOM2002
21,124,1,0,-32.508594,152.319569,25,1,8,UOM2002
21,124,2,0,-32.516198,152.322952,12,0.9,8,UOM2002
21,124,3,0,-32.535475,152.320002,17,0.9,9,UOM2002
21,124,4,0,-32.543791,152.309753,0,0.9,9,UOM2002
21,124,5,0,-32.543835,152.309677,0,0.8,10,UOM2002
21,124,6,0,-32.543727,152.309829,7,0.7,12,UOM2002
21,124,7,0,-32.549195,152.307947,10,0.8,11,UOM2002
21,124,8,0,-32.541782,152.317052,20,0.7,11,UOM2002
21,124,9,0,-32.541782,152.317001,12,1.1,8,UOM2002
21,124,10,0,-32.549831,152.307922,5,0.8,9,UOM2002
21,124,11,0,-32.548865,152.307744,16,0.8,10,UOM2002
21,124,12,0,-32.548725,152.308125,0,0.9,10,UOM2002
21,124,13,0,-32.548706,152.3081,17,0.9,10,UOM2002
21,124,14,0,-32.549411,152.307769,0,0.9,10,UOM2002
21,124,15,0,-32.54882,152.30782,0,1,9,UOM2002
21,124,16,0,-32.549163,152.307769,2,0.9,9,UOM2002
21,124,17,0,-32.545819,152.311101,0,0.8,10,UOM2002
21,124,18,0,-32.547548,152.312169,10,0.9,9,UOM2002
21,124,19,0,-32.549837,152.307617,15,0.7,10,UOM2002
21,124,20,0,-32.548731,152.31049,8,0.8,10,UOM2002
21,124,21,0,-32.54971,152.307439,0,1,9,UOM2002
21,124,22,0,-32.549984,152.307617,24,1.2,8,UOM2002
21,124,23,0,-32.549869,152.307464,8,0.8,10,UOM2002
21,125,0,0,-32.549367,152.308227,0,0.9,8,UOM2002
21,125,1,0,-32.549481,152.3081,56,1.3,6,UOM2002
21,125,2,0,-32.549329,152.308024,25,1,7,UOM2002
21,125,3,0,-32.549875,152.307718,0,1,8,UOM2002
21,125,4,0,-32.549882,152.307718,0,1,8,UOM2002
21,125,5,0,-32.549316,152.308303,16,1.1,8,UOM2002
21,125,6,0,-32.549322,152.308202,10,0.8,11,UOM2002
21,125,7,0,-32.549354,152.308176,23,0.7,12,UOM2002
21,125,8,0,-32.549697,152.307566,0,0.7,12,UOM2002
21,125,9,0,-32.549443,152.308329,0,1.1,8,UOM2002
21,125,10,0,-32.549488,152.308431,0,1,9,UOM2002
21,125,11,0,-32.549062,152.307413,10,0.8,10,UOM2002
21,125,12,0,-32.549074,152.307464,9,0.7,12,UOM2002
21,125,13,0,-32.549011,152.307464,1,0.9,10,UOM2002
21,125,14,0,-32.547479,152.312169,0,0.9,10,UOM2002
21,125,15,0,-32.525652,152.322418,0,0.8,11,UOM2002
21,125,16,0,-32.538673,152.31695,9,0.8,10,UOM2002
21,125,17,0,-32.548133,152.311609,0,0.8,10,UOM2002
21,125,18,0,-32.549418,152.308303,0,1,8,UOM2002
21,125,19,0,-32.549392,152.308227,22,0.8,10,UOM2002
21,125,20,0,-32.549545,152.307769,0,0.7,12,UOM2002
21,125,21,0,-32.549856,152.307566,0,1,9,UOM2002
21,125,22,0,-32.54999,152.307642,17,0.9,9,UOM2002
21,125,23,0,-32.54943,152.307718,23,0.9,8,UOM2002
21,126,0,0,-32.549907,152.307312,0,1.1,7,UOM2002
21,126,1,0,-32.549907,152.307566,0,0.9,8,UOM2002
21,126,2,0,-32.549825,152.307439,32,1,7,UOM2002
21,126,3,0,-32.549907,152.307718,0,1.1,7,UOM2002
21,126,4,0,-32.549882,152.30749,3,1.2,7,UOM2002
21,126,5,0,-32.549882,152.30754,0,1,9,UOM2002
21,126,6,0,-32.549895,152.307515,0,0.9,9,UOM2002
21,126,7,0,-32.55013,152.309397,9,0.7,12,UOM2002
21,126,8,0,-32.548941,152.310567,0,0.7,12,UOM2002
21,126,9,0,-32.548235,152.311304,6,1.1,8,UOM2002
21,126,10,0,-32.550607,152.30899,2,0.7,11,UOM2002
21,126,11,0,-32.550702,152.308431,0,1.3,7,UOM2002
21,126,13,0,-32.549113,152.307439,6,1.4,6,UOM2002
21,126,14,0,-32.550365,152.309219,9,1.3,7,UOM2002
21,126,15,0,-32.542011,152.310363,0,1.1,7,UOM2002
21,126,16,0,-32.542233,152.310185,0,1.2,6,UOM2002
21,126,17,0,-32.54231,152.310109,0,1.6,5,UOM2002
21,126,18,0,-32.542081,152.31016,2,1.2,8,UOM2002
21,126,19,0,-32.542081,152.310236,9,0.9,9,UOM2002
21,126,20,0,-32.542125,152.310134,0,0.9,10,UOM2002
21,126,21,0,-32.542246,152.310033,0,1.1,8,UOM2002
21,126,22,0,-32.546499,152.308481,4,0.9,9,UOM2002
21,126,23,0,-32.549786,152.307108,0,1,8,UOM2002
21,127,0,0,-32.548788,152.307617,5,1.6,6,UOM2002
21,127,1,0,-32.549659,152.307871,18,1.6,6,UOM2002
21,127,2,0,-32.549195,152.307846,9,1.3,6,UOM2002
21,127,3,0,-32.542354,152.3096,0,1.5,6,UOM2002
21,127,4,0,-32.542011,152.310287,1,0.8,10,UOM2002
21,127,5,0,-32.542017,152.310262,1,1,8,UOM2002
21,127,6,0,-32.539271,152.315907,7,0.8,11,UOM2002
21,127,7,0,-32.53894,152.317967,0,0.7,11,UOM2002
21,127,8,0,-32.538838,152.317967,5,0.7,11,UOM2002
21,127,9,0,-32.538717,152.317967,0,1.2,7,UOM2002
21,127,10,0,-32.538857,152.317713,7,1.1,8,UOM2002
21,127,11,0,-32.538787,152.317713,19,0.9,8,UOM2002
21,127,12,0,-32.53887,152.317713,17,1.2,8,UOM2002
21,127,13,0,-32.538845,152.317764,6,1.8,6,UOM2002
21,127,14,0,-32.538895,152.318272,6,0.9,9,UOM2002
21,127,15,0,-32.5388,152.318222,6,0.8,10,UOM2002
21,127,16,0,-32.538857,152.318171,0,0.9,11,UOM2002
21,127,17,0,-32.539728,152.319569,1,0.8,10,UOM2002
21,127,18,0,-32.542526,152.311762,0,0.8,10,UOM2002
21,127,19,0,-32.544967,152.306345,17,0.9,10,UOM2002
21,127,20,0,-32.542322,152.310821,46,0.7,12,UOM2002
21,127,21,0,-32.542399,152.310592,0,1,9,UOM2002
21,127,22,0,-32.542424,152.310618,22,0.8,10,UOM2002
21,127,23,0,-32.542532,152.310694,0,0.8,10,UOM2002
21,128,0,0,-32.542252,152.310643,1,1.6,6,UOM2002
21,128,1,0,-32.541776,152.312245,12,0.8,9,UOM2002
21,128,2,0,-32.538749,152.316543,10,1.4,7,UOM2002
21,128,3,0,-32.538647,152.316416,11,1.1,7,UOM2002
21,128,4,0,-32.538737,152.316416,0,1.1,8,UOM2002
21,128,5,0,-32.538749,152.316518,0,1,9,UOM2002
21,128,6,0,-32.53702,152.322596,2,0.8,11,UOM2002
21,128,7,0,-32.50326,152.309549,12,0.6,13,UOM2002
21,128,8,0,-32.496152,152.309499,36,0.7,12,UOM2002
21,128,9,0,-32.497525,152.311126,32,1.1,8,UOM2002
21,128,10,0,-32.495758,152.322291,54,0.7,12,UOM2002
21,128,11,0,-32.497557,152.329182,0,1.1,8,UOM2002
21,128,12,0,-32.497563,152.328826,126,1.5,7,UOM2002
21,128,13,0,-32.497614,152.328674,34,1.3,7,UOM2002
21,128,14,0,-32.497786,152.328903,0,0.9,10,UOM2002
21,128,15,0,-32.502408,152.32814,9,0.8,11,UOM2002
21,128,16,0,-32.531946,152.321553,0,0.7,12,UOM2002
21,128,17,0,-32.537897,152.32168,7,0.9,9,UOM2002
21,128,18,0,-32.538018,152.3214,6,0.8,10,UOM2002
21,128,19,0,-32.53983,152.319086,3,0.6,12,UOM2002
21,128,20,0,-32.539747,152.318374,6,0.7,12,UOM2002
21,128,21,0,-32.543702,152.309778,0,0.9,10,UOM2002
21,128,22,0,-32.542538,152.310668,0,0.8,10,UOM2002
21,128,23,0,-32.542596,152.310668,5,0.8,10,UOM2002
21,129,0,0,-32.542481,152.310668,0,1.1,8,UOM2002
21,129,1,0,-32.542469,152.310643,26,1.3,6,UOM2002
21,129,2,0,-32.542469,152.310236,0,1.8,6,UOM2002
21,129,3,0,-32.542316,152.31077,9,1,8,UOM2002
21,129,4,0,-32.542437,152.310719,0,0.9,10,UOM2002
21,129,5,0,-32.542437,152.310694,0,0.9,9,UOM2002
21,129,6,0,-32.54978,152.307235,2,0.8,11,UOM2002
21,129,7,0,-32.538705,152.318069,12,0.7,12,UOM2002
21,129,8,0,-32.538959,152.32079,2,0.7,12,UOM2002
21,129,9,0,-32.538876,152.317993,9,1.1,8,UOM2002
21,129,10,0,-32.538864,152.317993,11,0.7,12,UOM2002
21,129,11,0,-32.539086,152.317891,17,0.9,9,UOM2002
21,129,12,0,-32.539194,152.318323,21,0.8,11,UOM2002
21,129,13,0,-32.538686,152.316518,18,1.2,7,UOM2002
21,129,14,0,-32.538781,152.316416,8,1,8,UOM2002
21,129,15,0,-32.538806,152.317281,9,0.9,10,UOM2002
21,129,16,0,-32.54011,152.319391,10,0.8,11,UOM2002
21,129,17,0,-32.540027,152.319798,1,0.8,10,UOM2002
21,129,18,0,-32.538431,152.321248,2,0.8,10,UOM2002
21,129,19,0,-32.539569,152.320256,0,0.6,13,UOM2002
21,129,20,0,-32.539423,152.319035,6,0.7,13,UOM2002
21,129,21,0,-32.538876,152.320968,2,0.9,10,UOM2002
21,129,22,0,-32.538857,152.320002,7,0.8,10,UOM2002
21,129,23,0,-32.538094,152.319315,7,0.7,11,UOM2002
21,130,0,0,-32.538094,152.319315,4,1,8,UOM2002
21,130,1,0,-32.548032,152.30754,13,0.8,9,UOM2002
21,130,2,0,-32.538438,152.318603,15,0.8,9,UOM2002
21,130,3,0,-32.538489,152.318628,9,1.1,7,UOM2002
21,130,4,0,-32.538495,152.318578,15,0.8,11,UOM2002
21,130,5,0,-32.536626,152.319391,0,0.8,10,UOM2002
21,130,6,0,-32.507748,152.323257,10,0.8,11,UOM2002
21,130,7,0,-32.50654,152.330378,9,0.8,11,UOM2002
21,130,8,0,-32.505046,152.342178,22,0.8,10,UOM2002
21,130,9,0,-32.50401,152.366236,0,1.1,7,UOM2002
21,130,10,0,-32.50469,152.366694,12,0.8,9,UOM2002
21,130,11,0,-32.506153,152.366846,11,0.9,9,UOM2002
21,130,12,0,-32.506089,152.366795,0,1.4,8,UOM2002
21,130,13,0,-32.506108,152.367024,48,1,8,UOM2002
21,130,14,0,-32.508505,152.364176,1,0.9,10,UOM2002
21,130,15,0,-32.538584,152.3214,0,0.9,9,UOM2002
21,130,16,0,-32.538787,152.320917,6,0.7,12,UOM2002
21,130,17,0,-32.540205,152.316899,3,0.8,10,UOM2002
21,130,18,0,-32.54278,152.309015,0,0.8,10,UOM2002
21,130,19,0,-32.542221,152.310109,7,0.8,10,UOM2002
21,130,20,0,-32.542303,152.310211,8,1,9,UOM2002
21,130,21,0,-32.546824,152.308227,0,0.8,11,UOM2002
21,130,22,0,-32.550607,152.308761,10,0.7,11,UOM2002
21,130,23,0,-32.549875,152.30754,0,0.7,11,UOM2002
21,131,0,0,-32.549869,152.307286,0,1,8,UOM2002
21,131,1,0,-32.549837,152.30749,18,1,7,UOM2002
21,131,2,0,-32.549837,152.307566,21,1.2,7,UOM2002
21,131,3,0,-32.549774,152.308151,0,1.1,7,UOM2002
21,131,4,0,-32.549799,152.308151,3,1,9,UOM2002
21,131,5,0,-32.549856,152.308074,0,0.9,10,UOM2002
21,131,6,0,-32.549704,152.30721,2,0.8,11,UOM2002
21,131,7,0,-32.530446,152.322545,5,0.8,11,UOM2002
21,131,8,0,-32.511436,152.329284,0,0.7,12,UOM2002
21,131,9,0,-32.510412,152.329564,0,1.1,9,UOM2002
21,131,10,0,-32.508499,152.328979,22,0.7,11,UOM2002
21,131,11,0,-32.508511,152.328979,29,0.8,11,UOM2002
21,131,13,0,-32.508696,152.328826,11,1.4,6,UOM2002
21,131,14,0,-32.50476,152.325775,24,1.3,7,UOM2002
21,131,15,0,-32.509039,152.319976,6,1.8,6,UOM2002
21,131,16,0,-32.524635,152.323384,21,1.2,7,UOM2002
21,131,17,0,-32.538921,152.317967,9,0.8,10,UOM2002
21,131,18,0,-32.538902,152.317942,14,1,8,UOM2002
21,131,19,0,-32.538972,152.31784,0,1.1,8,UOM2002
21,131,20,0,-32.539016,152.317942,4,0.9,10,UOM2002
21,131,21,0,-32.538686,152.31634,0,1.1,8,UOM2002
21,131,22,0,-32.538768,152.316441,11,1.3,7,UOM2002
21,131,23,0,-32.538635,152.316569,0,1.4,7,UOM2002
21,132,0,0,-32.538724,152.316187,0,1.8,5,UOM2002
21,132,2,0,-32.538756,152.316238,0,1.5,6,UOM2002
21,132,3,0,-32.538705,152.316467,8,1.2,6,UOM2002
21,132,4,0,-32.538558,152.316365,13,1.3,5,UOM2002
21,132,5,0,-32.538635,152.316518,17,1,8,UOM2002
21,132,6,0,-32.538794,152.316543,61,1.4,6,UOM2002
21,132,7,0,-32.539398,152.318298,11,0.7,11,UOM2002
21,132,8,0,-32.549195,152.307846,7,1,8,UOM2002
21,132,9,0,-32.548451,152.307998,0,1,9,UOM2002
21,132,10,0,-32.548458,152.307973,3,0.9,9,UOM2002
21,132,11,0,-32.549443,152.307464,0,1,8,UOM2002
21,132,12,0,-32.548877,152.308151,8,1.1,9,UOM2002
21,132,13,0,-32.549882,152.307362,11,0.9,10,UOM2002
